,extended,crit3,suicide,property,targtype1,attacktype1,gname,weaptype1,country_txt
39,0,0,0,0,4,9,New People's Army (NPA),13,Philippines
169,0,0,0,0,4,9,New People's Army (NPA),13,Philippines
226,0,1,0,1,6,3,Palestinians,6,Turkey
364,0,1,0,1,17,2,Irish Republican Army (IRA),8,United Kingdom
365,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom
366,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom
367,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom
458,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
497,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
605,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom
625,1,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain
688,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
702,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
706,0,1,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
719,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
734,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
739,0,0,0,1,4,3,New People's Army (NPA),6,Philippines
760,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
866,0,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain
897,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
899,0,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain
935,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
936,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
949,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
951,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
952,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
982,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
983,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
993,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
994,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1001,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1002,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1007,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1011,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1012,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1016,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1018,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1019,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1030,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1031,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1032,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1034,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1035,0,1,0,1,21,3,Irish Republican Army (IRA),6,United Kingdom
1036,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1048,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1049,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1050,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1051,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1054,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1055,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1056,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1057,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1060,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1063,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1069,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1070,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1073,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1083,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
