,extended,crit3,suicide,property,targtype1,attacktype1,gname,weaptype1,country_txt,success
39,0,0,0,0,4,9,New People's Army (NPA),13,Philippines,0
169,0,0,0,0,4,9,New People's Army (NPA),13,Philippines,1
226,0,1,0,1,6,3,Palestinians,6,Turkey,1
364,0,1,0,1,17,2,Irish Republican Army (IRA),8,United Kingdom,0
365,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom,1
366,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom,1
367,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom,1
458,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
497,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
605,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom,1
625,1,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain,1
688,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
702,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
706,0,1,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
719,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
734,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
739,0,0,0,1,4,3,New People's Army (NPA),6,Philippines,1
760,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
866,0,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain,0
897,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
899,0,1,0,0,7,6,Basque Fatherland and Freedom (ETA),13,Spain,1
935,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
936,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
949,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
951,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
952,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
982,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
983,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
993,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
994,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1001,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1002,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,0
1007,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1011,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1012,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1016,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1018,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1019,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1030,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1031,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1032,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1034,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1035,0,1,0,1,21,3,Irish Republican Army (IRA),6,United Kingdom,0
1036,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1048,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1049,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1050,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1051,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1054,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1055,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1056,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1057,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1060,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1063,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1069,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1070,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1073,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1083,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1088,0,1,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1089,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1090,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1091,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1093,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1094,0,1,0,1,2,3,Basque Fatherland and Freedom (ETA),6,Spain,1
